,buurtcode2020,Wijk2020,Supermarkt
0,3630100,36301,14
1,3630101,36301,14
2,3630102,36301,14
3,3630103,36301,14
4,3630104,36301,14
5,3630105,36301,14
6,3630106,36301,14
7,3630107,36301,14
8,3630200,36302,4
9,3630201,36302,4
10,3630202,36302,4
11,3630203,36302,4
12,3630300,36303,7
13,3630301,36303,7
14,3630302,36303,7
15,3630303,36303,7
16,3630304,36303,7
17,3630305,36303,7
18,3630306,36303,7
19,3630400,36304,3
20,3630401,36304,3
21,3630402,36304,3
22,3630403,36304,3
23,3630404,36304,3
24,3630405,36304,3
25,3630406,36304,3
26,3630407,36304,3
27,3630408,36304,3
28,3630500,36305,5
29,3630501,36305,5
30,3630502,36305,5
31,3630503,36305,5
32,3630505,36305,5
33,3630506,36305,5
34,3630900,36309,6
35,3630901,36309,6
36,3630902,36309,6
37,3630903,36309,6
38,3630904,36309,6
39,3630905,36309,6
40,3630907,36309,6
41,3630908,36309,6
42,3631100,36311,1
43,3631102,36311,1
44,3631103,36311,1
45,3631104,36311,1
46,3631105,36311,1
47,3631107,36311,1
48,3631109,36311,1
49,3631400,36314,4
50,3631401,36314,4
51,3631402,36314,4
52,3631403,36314,4
53,3631404,36314,4
54,3631405,36314,4
55,3631700,36317,5
56,3632000,36320,5
57,3632001,36320,5
58,3632002,36320,5
59,3632100,36321,2
60,3632101,36321,2
61,3632400,36324,8
62,3632401,36324,8
63,3632402,36324,8
64,3632403,36324,8
65,3632404,36324,8
66,3632800,36328,4
67,3632801,36328,4
68,3632802,36328,4
69,3632803,36328,4
70,3632900,36329,3
71,3632901,36329,3
72,3632902,36329,3
73,3633100,36331,1
74,3633101,36331,1
75,3633102,36331,1
76,3633200,36332,4
77,3633201,36332,4
78,3633202,36332,4
79,3633203,36332,4
80,3633300,36333,3
81,3633301,36333,3
82,3633302,36333,3
83,3633303,36333,3
84,3633304,36333,3
85,3633305,36333,3
86,3633306,36333,3
87,3633307,36333,3
88,3633308,36333,3
89,3633309,36333,3
90,3633310,36333,3
91,3633500,36335,3
92,3633501,36335,3
93,3633502,36335,3
94,3633504,36335,3
95,3633505,36335,3
96,3633900,36339,5
97,3633901,36339,5
98,3633902,36339,5
99,3633903,36339,5
100,3634100,36341,3
101,3634101,36341,3
102,3634102,36341,3
103,3634103,36341,3
104,3634200,36342,2
105,3634201,36342,2
106,3634202,36342,2
107,3634203,36342,2
108,3634300,36343,4
109,3634301,36343,4
110,3634400,36344,1
111,3634401,36344,1
112,3634402,36344,1
113,3634403,36344,1
114,3634404,36344,1
115,3634405,36344,1
116,3634600,36346,3
117,3634601,36346,3
118,3634602,36346,3
119,3634603,36346,3
120,3634800,36348,3
121,3634801,36348,3
122,3634802,36348,3
123,3634803,36348,3
124,3634804,36348,3
125,3634805,36348,3
126,3634900,36349,2
127,3634901,36349,2
128,3634902,36349,2
129,3634903,36349,2
130,3634904,36349,2
131,3634905,36349,2
132,3635200,36352,3
133,3635201,36352,3
134,3635202,36352,3
135,3635203,36352,3
136,3635206,36352,3
137,3635207,36352,3
138,3635300,36353,5
139,3635301,36353,5
140,3636000,36360,3
141,3636001,36360,3
142,3636002,36360,3
143,3636100,36361,3
144,3636101,36361,3
145,3636102,36361,3
146,3636103,36361,3
147,3636500,36365,1
148,3636501,36365,1
149,3636502,36365,1
150,3636503,36365,1
151,3636601,36366,3
152,3636602,36366,3
153,3636603,36366,3
154,3636604,36366,3
155,3636605,36366,3
156,3636606,36366,3
157,3636800,36368,2
158,3636801,36368,2
159,3636802,36368,2
160,3636803,36368,2
161,3636804,36368,2
162,3636805,36368,2
163,3636900,36369,3
164,3636902,36369,3
165,3636909,36369,3
166,3636910,36369,3
167,3636911,36369,3
168,3636912,36369,3
169,3637000,36370,2
170,3637001,36370,2
171,3637002,36370,2
172,3637003,36370,2
173,3637004,36370,2
174,3637005,36370,2
175,3637600,36376,3
176,3637601,36376,3
177,3637700,36377,1
178,3637701,36377,1
179,3637702,36377,1
180,3637703,36377,1
181,3637704,36377,1
182,3637705,36377,1
183,3637800,36378,3
184,3637801,36378,3
185,3637802,36378,3
186,3637803,36378,3
187,3637804,36378,3
188,3638000,36380,1
189,3638001,36380,1
190,3638002,36380,1
191,3638100,36381,3
192,3638101,36381,3
193,3638102,36381,3
194,3638103,36381,3
195,3638104,36381,3
196,3638200,36382,3
197,3638201,36382,3
198,3638202,36382,3
199,3638203,36382,3
200,3638500,36385,2
201,3638501,36385,2
202,3638502,36385,2
203,3638600,36386,5
204,3638601,36386,5
205,3638602,36386,5
206,3638603,36386,5
207,3638604,36386,5
208,3638605,36386,5
209,3638900,36389,2
210,3638901,36389,2
211,3638902,36389,2
212,3638903,36389,2
213,3639000,36390,2
214,3639002,36390,2
215,3639003,36390,2
216,3639004,36390,2
217,3639008,36390,2
218,3639009,36390,2
219,3639100,36391,6
220,3639101,36391,6
221,3639102,36391,6
222,3639103,36391,6
