,buurtcode2020,Wijk2020,Verzorghuizen
0,3630200,36302,2
1,3630201,36302,2
2,3630202,36302,2
3,3630203,36302,2
4,3630400,36304,1
5,3630401,36304,1
6,3630402,36304,1
7,3630403,36304,1
8,3630404,36304,1
9,3630405,36304,1
10,3630406,36304,1
11,3630407,36304,1
12,3630408,36304,1
13,3630500,36305,2
14,3630501,36305,2
15,3630502,36305,2
16,3630503,36305,2
17,3630505,36305,2
18,3630506,36305,2
19,3630900,36309,4
20,3630901,36309,4
21,3630902,36309,4
22,3630903,36309,4
23,3630904,36309,4
24,3630905,36309,4
25,3630907,36309,4
26,3630908,36309,4
27,3631400,36314,2
28,3631401,36314,2
29,3631402,36314,2
30,3631403,36314,2
31,3631404,36314,2
32,3631405,36314,2
33,3631700,36317,1
34,3632000,36320,1
35,3632001,36320,1
36,3632002,36320,1
37,3632400,36324,2
38,3632401,36324,2
39,3632402,36324,2
40,3632403,36324,2
41,3632404,36324,2
42,3632800,36328,1
43,3632801,36328,1
44,3632802,36328,1
45,3632803,36328,1
46,3632900,36329,2
47,3632901,36329,2
48,3632902,36329,2
49,3633200,36332,1
50,3633201,36332,1
51,3633202,36332,1
52,3633203,36332,1
53,3633900,36339,1
54,3633901,36339,1
55,3633902,36339,1
56,3633903,36339,1
57,3634200,36342,1
58,3634201,36342,1
59,3634202,36342,1
60,3634203,36342,1
61,3634600,36346,1
62,3634601,36346,1
63,3634602,36346,1
64,3634603,36346,1
65,3634900,36349,1
66,3634901,36349,1
67,3634902,36349,1
68,3634903,36349,1
69,3634904,36349,1
70,3634905,36349,1
71,3635200,36352,1
72,3635201,36352,1
73,3635202,36352,1
74,3635203,36352,1
75,3635206,36352,1
76,3635207,36352,1
77,3636601,36366,1
78,3636602,36366,1
79,3636603,36366,1
80,3636604,36366,1
81,3636605,36366,1
82,3636606,36366,1
83,3636800,36368,1
84,3636801,36368,1
85,3636802,36368,1
86,3636803,36368,1
87,3636804,36368,1
88,3636805,36368,1
89,3636900,36369,2
90,3636902,36369,2
91,3636909,36369,2
92,3636910,36369,2
93,3636911,36369,2
94,3636912,36369,2
95,3637000,36370,2
96,3637001,36370,2
97,3637002,36370,2
98,3637003,36370,2
99,3637004,36370,2
100,3637005,36370,2
101,3637700,36377,1
102,3637701,36377,1
103,3637702,36377,1
104,3637703,36377,1
105,3637704,36377,1
106,3637705,36377,1
107,3637800,36378,2
108,3637801,36378,2
109,3637802,36378,2
110,3637803,36378,2
111,3637804,36378,2
112,3638100,36381,1
113,3638101,36381,1
114,3638102,36381,1
115,3638103,36381,1
116,3638104,36381,1
117,3638200,36382,1
118,3638201,36382,1
119,3638202,36382,1
120,3638203,36382,1
121,3638500,36385,2
122,3638501,36385,2
123,3638502,36385,2
124,3639000,36390,2
125,3639002,36390,2
126,3639003,36390,2
127,3639004,36390,2
128,3639008,36390,2
129,3639009,36390,2
130,3639100,36391,3
131,3639101,36391,3
132,3639102,36391,3
133,3639103,36391,3
