,buurtcode2020,Wijk2020,Museum
0,3630100,36301,14
1,3630101,36301,14
2,3630102,36301,14
3,3630103,36301,14
4,3630104,36301,14
5,3630105,36301,14
6,3630106,36301,14
7,3630107,36301,14
8,3630200,36302,13
9,3630201,36302,13
10,3630202,36302,13
11,3630203,36302,13
12,3630300,36303,7
13,3630301,36303,7
14,3630302,36303,7
15,3630303,36303,7
16,3630304,36303,7
17,3630305,36303,7
18,3630306,36303,7
19,3630400,36304,6
20,3630401,36304,6
21,3630402,36304,6
22,3630403,36304,6
23,3630404,36304,6
24,3630405,36304,6
25,3630406,36304,6
26,3630407,36304,6
27,3630408,36304,6
28,3630500,36305,1
29,3630501,36305,1
30,3630502,36305,1
31,3630503,36305,1
32,3630505,36305,1
33,3630506,36305,1
34,3630900,36309,9
35,3630901,36309,9
36,3630902,36309,9
37,3630903,36309,9
38,3630904,36309,9
39,3630905,36309,9
40,3630907,36309,9
41,3630908,36309,9
42,3631300,36313,1
43,3631301,36313,1
44,3631302,36313,1
45,3631303,36313,1
46,3631304,36313,1
47,3631305,36313,1
48,3631306,36313,1
49,3631307,36313,1
50,3632000,36320,1
51,3632001,36320,1
52,3632002,36320,1
53,3632100,36321,5
54,3632101,36321,5
55,3632400,36324,1
56,3632401,36324,1
57,3632402,36324,1
58,3632403,36324,1
59,3632404,36324,1
60,3632800,36328,2
61,3632801,36328,2
62,3632802,36328,2
63,3632803,36328,2
64,3633300,36333,1
65,3633301,36333,1
66,3633302,36333,1
67,3633303,36333,1
68,3633304,36333,1
69,3633305,36333,1
70,3633306,36333,1
71,3633307,36333,1
72,3633308,36333,1
73,3633309,36333,1
74,3633310,36333,1
75,3634600,36346,1
76,3634601,36346,1
77,3634602,36346,1
78,3634603,36346,1
79,3636000,36360,2
80,3636001,36360,2
81,3636002,36360,2
82,3636100,36361,1
83,3636101,36361,1
84,3636102,36361,1
85,3636103,36361,1
86,3636601,36366,1
87,3636602,36366,1
88,3636603,36366,1
89,3636604,36366,1
90,3636605,36366,1
91,3636606,36366,1
92,3637700,36377,1
93,3637701,36377,1
94,3637702,36377,1
95,3637703,36377,1
96,3637704,36377,1
97,3637705,36377,1
98,3638900,36389,1
99,3638901,36389,1
100,3638902,36389,1
101,3638903,36389,1
102,3639000,36390,1
103,3639002,36390,1
104,3639003,36390,1
105,3639004,36390,1
106,3639008,36390,1
107,3639009,36390,1
